id,domain,skill,difficulty,pendingAction,p0Repaired,p1Upgraded,readyForGate,remainingHardIssues,warnings,calculatorTag,desmosSkill,trapTag,routeTag
antigravity-hard-092085d9,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-9fd651d4,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-3c4511c1,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-2da2b307,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-cb7b3caa,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-e95c7c52,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-f703624b,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-0cecc4a5,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-3613dd55,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-7a8af876,Algebra,Systems of two linear equations in two variables,Hard,"Remove visible generation notes, then re-check the answer key and explanation.",False,False,False,generation_draft_note_visible,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-6ad3f9d7,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-c3b4c150,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-31cbffb6,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-1905fcdb,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-4723f48c,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-1fcd2669,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-4e7a9df7,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-7686014e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-fe712632,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-2e444991,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-3a9f8fee,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-eee5a80e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-eabde1b7,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-458cdbaf,Algebra,Systems of two linear equations in two variables,Hard,Fix structural or answer-integrity issue before approval.,False,False,False,math:grid_in_non_equivalent_acceptable_answer:40/3,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-f4b83d26,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-20ac7b7a,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-1ca467fe,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-ff9f2f09,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-d964bd20,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-79f38766,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-924df60a,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-f31222cd,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-eaea804c,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-bcd84559,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b9caa4db,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-595d089f,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-864544fb,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-a63ec4b3,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-fefce3f5,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-e6b25a2b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-371f1e05,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-8152af69,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-39d2a7d7,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-801f3d8e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-abf195d9,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-942fbaf6,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-a2bec9ea,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-7ec99e99,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-259b7479,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-cb974aa0,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-782b7a9b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-e78fc6dd,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-6f8f5256,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-68d31515,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-16661640,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-bb09a576,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-9df95755,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-6af21965,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-fafd0b8f,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-f25509a1,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-96265068,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-50245a50,Algebra,Systems of two linear equations in two variables,Hard,"Repair math notation or visible symbols, then rerun the expert gate.",False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-63ed07b7,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-623fcdc0,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-0c86bedd,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-9fbdbfcb,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-045ce540,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-9a5857ef,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-470fc0c2,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-5ff6862b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-d4efd2a2,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-c6605266,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-54691096,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-a8812d59,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-cd9ba0d0,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b6519da1,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-68bce5b1,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-75446029,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-3495013d,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-614c0846,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b779a14d,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-27aded47,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-cabfae13,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-41ba2018,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-ffb38c3b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-23673084,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-bb1090fd,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-50dcea8a,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-b0ead8e9,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-ca7909f4,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-536f7aba,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-ff5b6bf9,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-2b055e24,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-e9c82c77,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-8e016afc,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-9a43e1ee,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-d3767a33,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-7a2f8511,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-75ff1890,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-379ae943,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-28bce4fb,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-7ce287e6,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-143326ec,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-deab57dd,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-b1524ec2,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-8a8a4768,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-3ccb6a30,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,parameter_vs_solution,evidence_first
antigravity-hard-a30ffd71,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-4b8baf11,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-1265fd00,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-e02ae113,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-4e12ba6b,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-a18355dd,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-8bcc2ddf,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-ef8a9787,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-fd0ee927,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-413ea81a,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-ef639949,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-4982aaa9,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
antigravity-hard-783e0853,Algebra,Linear equations in one variable,Hard,Expand the correct-answer explanation so the item can teach self-study.,False,True,True,,,not_applicable,not_applicable,linear_feature_mixup,evidence_first
