decision,id,sourceFile,sourceIndex,reviewStatusBefore,section,domain,skill,canonicalSkill,microSkill,difficulty,questionType,targetBand,modulePlacement,estimatedTimeSeconds,desmosUseful,calculatorTags,failures,tagIssues,tagChanges,requiredAction,promptWords,explanationWords,correctExplanationWords,distractorExplanationCount
kept_reviewed,antigravity-9caa993b,antigravity-bank.json,10,reviewed,Math,Problem-Solving and Data Analysis,Percentages,Percentages,percentages,Hard,student_produced_response,SAT-Advanced,module2_upper,135,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,104,285,183,3
kept_reviewed,antigravity-081b5f45,antigravity-bank.json,11,reviewed,Math,Problem-Solving and Data Analysis,Percentages,Percentages,percentages,Hard,student_produced_response,SAT-Advanced,module2_upper,135,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,59,350,246,2
kept_reviewed,antigravity-56b3240f,antigravity-bank.json,12,reviewed,Math,Problem-Solving and Data Analysis,Percentages,Percentages,percentages,Hard,student_produced_response,SAT-Advanced,module2_upper,135,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,89,407,162,3
kept_reviewed,antigravity-15b60b30,antigravity-bank.json,13,reviewed,Math,Problem-Solving and Data Analysis,Percentages,Percentages,percentages,Hard,student_produced_response,SAT-Advanced,module2_upper,135,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,67,230,101,3
kept_reviewed,antigravity-25ff60af,antigravity-bank.json,14,reviewed,Math,Problem-Solving and Data Analysis,Percentages,Percentages,percentages,Hard,student_produced_response,SAT-Advanced,module2_upper,135,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,68,189,81,2
kept_reviewed,antigravity-a0473ecd,antigravity-bank.json,15,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,90,131,66,3
kept_reviewed,antigravity-68fd8535,antigravity-bank.json,16,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,85,131,61,3
kept_reviewed,antigravity-73a2bd82,antigravity-bank.json,17,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,93,130,54,3
kept_reviewed,antigravity-84fb0088,antigravity-bank.json,18,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,98,,,,,,Expert review required before approval.,102,136,50,3
kept_reviewed,antigravity-7e8a49fa,antigravity-bank.json,19,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,96,,,,,,Expert review required before approval.,94,132,51,3
kept_reviewed,antigravity-0d6d8012,antigravity-bank.json,20,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,79,118,37,3
kept_reviewed,antigravity-d88da3ef,antigravity-bank.json,21,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,61,122,39,3
kept_reviewed,antigravity-72ef374a,antigravity-bank.json,22,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,44,141,72,3
kept_reviewed,antigravity-a30d92c8,antigravity-bank.json,23,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,29,175,79,3
kept_reviewed,antigravity-25ad39d0,antigravity-bank.json,24,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,32,109,43,3
kept_reviewed,antigravity-7b87211d,antigravity-bank.json,25,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,93,119,50,3
kept_reviewed,antigravity-edd413de,antigravity-bank.json,26,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,96,,,,,,Expert review required before approval.,96,117,48,3
kept_reviewed,antigravity-afe23472,antigravity-bank.json,27,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,97,,,,,,Expert review required before approval.,101,120,44,3
kept_reviewed,antigravity-462fd9a7,antigravity-bank.json,28,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,82,138,48,3
kept_reviewed,antigravity-d9af1aaf,antigravity-bank.json,29,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,96,,,,,,Expert review required before approval.,97,110,43,3
kept_reviewed,antigravity-8ad352b6,antigravity-bank.json,30,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,47,151,74,3
kept_reviewed,antigravity-82811e06,antigravity-bank.json,31,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,45,111,37,3
kept_reviewed,antigravity-3c84efe6,antigravity-bank.json,32,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,38,145,81,3
kept_reviewed,antigravity-dae78e84,antigravity-bank.json,33,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,55,142,68,3
kept_reviewed,antigravity-f0dccb18,antigravity-bank.json,34,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,97,,,,,,Expert review required before approval.,98,116,52,3
kept_reviewed,antigravity-29b4430c,antigravity-bank.json,35,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,99,,,,,,Expert review required before approval.,108,122,64,3
kept_reviewed,antigravity-9f76ebf7,antigravity-bank.json,36,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,98,,,,,,Expert review required before approval.,102,128,49,3
kept_reviewed,antigravity-ed99934f,antigravity-bank.json,37,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,96,,,,,,Expert review required before approval.,96,125,50,3
kept_reviewed,antigravity-26fb5464,antigravity-bank.json,38,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,99,,,,,,Expert review required before approval.,106,121,46,3
kept_reviewed,antigravity-00ace311,antigravity-bank.json,39,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,54,102,40,3
kept_reviewed,antigravity-4737c75a,antigravity-bank.json,40,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,63,132,72,3
kept_reviewed,antigravity-054895a0,antigravity-bank.json,41,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,34,107,45,3
kept_reviewed,antigravity-799e202c,antigravity-bank.json,42,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,56,125,54,3
kept_reviewed,antigravity-60b49d9c,antigravity-bank.json,43,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,29,130,66,3
kept_reviewed,antigravity-bbf5b55e,antigravity-bank.json,44,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,91,109,41,3
kept_reviewed,antigravity-3fda2844,antigravity-bank.json,45,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,89,109,47,3
kept_reviewed,antigravity-a10314db,antigravity-bank.json,46,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,91,105,37,3
kept_reviewed,antigravity-6d8314b6,antigravity-bank.json,47,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,97,,,,,,Expert review required before approval.,100,113,50,3
kept_reviewed,antigravity-1c8c189e,antigravity-bank.json,48,reviewed,Reading and Writing,Information and Ideas,Inferences,Inferences,inferences,Hard,multiple_choice,SAT-Advanced,module2_upper,97,,,,,,Expert review required before approval.,98,109,40,3
kept_reviewed,antigravity-25d46ae6,antigravity-bank.json,49,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,40,134,74,3
kept_reviewed,antigravity-80c3c414,antigravity-bank.json,50,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,53,105,42,3
kept_reviewed,antigravity-3e9a8802,antigravity-bank.json,51,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,34,124,52,3
kept_reviewed,antigravity-4a3198d7,antigravity-bank.json,52,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,69,151,91,3
kept_reviewed,antigravity-e1d80ee8,antigravity-bank.json,53,reviewed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Probability and conditional probability,probability and conditional probability,Hard,multiple_choice,SAT-Advanced,module2_upper,125,False,calculator_allowed_all_math;algebra_first,,,,Expert review required before approval.,30,108,40,3
kept_reviewed,antigravity-a92e16b5,antigravity-bank.json,54,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,83,124,35,3
kept_reviewed,antigravity-37b04f69,antigravity-bank.json,55,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,90,108,45,3
kept_reviewed,antigravity-dac4c35b,antigravity-bank.json,56,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,86,120,41,3
kept_reviewed,antigravity-d47a916d,antigravity-bank.json,57,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,98,,,,,,Expert review required before approval.,103,113,42,3
kept_reviewed,antigravity-fd738602,antigravity-bank.json,58,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,97,,,,,,Expert review required before approval.,100,104,37,3
kept_reviewed,antigravity-4cf5e094,antigravity-bank.json,59,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,101,,,,,,Expert review required before approval.,114,120,44,3
kept_reviewed,antigravity-8956db2e,antigravity-bank.json,60,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,108,,,,,,Expert review required before approval.,145,100,42,3
kept_reviewed,antigravity-b15a3b47,antigravity-bank.json,61,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,100,,,,,,Expert review required before approval.,111,108,43,3
kept_reviewed,antigravity-ed31aacc,antigravity-bank.json,62,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,104,,,,,,Expert review required before approval.,128,123,50,3
kept_reviewed,antigravity-1980069c,antigravity-bank.json,63,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,106,,,,,,Expert review required before approval.,137,102,43,3
kept_reviewed,antigravity-360ff5db,antigravity-bank.json,64,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,79,103,40,3
kept_reviewed,antigravity-17eb3e9f,antigravity-bank.json,65,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,83,107,41,3
kept_reviewed,antigravity-b36839f2,antigravity-bank.json,66,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,79,110,44,3
kept_reviewed,antigravity-f3eb473e,antigravity-bank.json,67,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,76,95,39,3
kept_reviewed,antigravity-8184c360,antigravity-bank.json,68,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,80,106,42,3
kept_reviewed,antigravity-25a3f266,antigravity-bank.json,69,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,105,,,,,,Expert review required before approval.,132,94,33,3
kept_reviewed,antigravity-60aa5424,antigravity-bank.json,70,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,105,,,,,,Expert review required before approval.,131,89,30,3
kept_reviewed,antigravity-a18b3bf1,antigravity-bank.json,71,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,112,,,,,,Expert review required before approval.,159,108,46,3
kept_reviewed,antigravity-8028af15,antigravity-bank.json,72,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,111,,,,,,Expert review required before approval.,157,96,44,3
kept_reviewed,antigravity-1e8ad242,antigravity-bank.json,73,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,107,,,,,,Expert review required before approval.,140,106,50,3
kept_reviewed,antigravity-6de56ca3,antigravity-bank.json,74,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,82,116,43,3
kept_reviewed,antigravity-d3cef3d2,antigravity-bank.json,75,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,85,109,44,3
kept_reviewed,antigravity-b4e935ac,antigravity-bank.json,76,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,96,,,,,,Expert review required before approval.,95,102,44,3
kept_reviewed,antigravity-4823c83d,antigravity-bank.json,77,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,76,98,38,3
kept_reviewed,antigravity-e7100af0,antigravity-bank.json,78,reviewed,Reading and Writing,Expression of Ideas,Transitions,Transitions,logical relationship,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,88,118,46,3
kept_reviewed,antigravity-a0048db2,antigravity-bank.json,79,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,104,,,,,,Expert review required before approval.,126,104,41,3
kept_reviewed,antigravity-063e9b3f,antigravity-bank.json,80,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,109,,,,,,Expert review required before approval.,149,100,44,3
kept_reviewed,antigravity-343c621b,antigravity-bank.json,81,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,108,,,,,,Expert review required before approval.,143,97,40,3
kept_reviewed,antigravity-30d4cdfd,antigravity-bank.json,82,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,108,,,,,,Expert review required before approval.,143,87,42,3
kept_reviewed,antigravity-92c358ee,antigravity-bank.json,83,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,105,,,,,,Expert review required before approval.,131,82,39,3
kept_reviewed,antigravity-569d6fa2,antigravity-bank.json,84,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,38,100,43,3
kept_reviewed,antigravity-1c42c4ba,antigravity-bank.json,85,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,43,68,30,3
kept_reviewed,antigravity-aeee8cc3,antigravity-bank.json,86,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,37,90,29,3
kept_reviewed,antigravity-d590a429,antigravity-bank.json,87,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,36,182,53,3
kept_reviewed,antigravity-6a534f65,antigravity-bank.json,88,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,44,89,33,3
kept_reviewed,antigravity-7e97ced8,antigravity-bank.json,89,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,42,176,50,3
kept_reviewed,antigravity-6fd89ab3,antigravity-bank.json,90,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,48,91,37,3
kept_reviewed,antigravity-0dbbe31e,antigravity-bank.json,91,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,50,191,54,3
kept_reviewed,antigravity-59ce7ab0,antigravity-bank.json,92,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,43,77,33,3
kept_reviewed,antigravity-427bcbdb,antigravity-bank.json,93,reviewed,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense","Form, Structure, and Sense","form, structure, and sense",Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,50,89,29,3
kept_reviewed,antigravity-6d662e47,antigravity-bank.json,94,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Command of Evidence,textual support,Hard,multiple_choice,SAT-Elite,module2_upper,95,,,,,,Expert review required before approval.,40,107,42,3
kept_reviewed,antigravity-8e2c61a8,antigravity-bank.json,95,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Command of Evidence,weaken claim,Hard,multiple_choice,SAT-Elite,module2_upper,95,,,,,,Expert review required before approval.,39,89,37,3
kept_reviewed,antigravity-7a029597,antigravity-bank.json,96,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Command of Evidence,textual support,Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,41,88,35,3
kept_reviewed,antigravity-1f9a609f,antigravity-bank.json,97,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Command of Evidence,textual support,Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,47,101,43,3
kept_reviewed,antigravity-68aa322f,antigravity-bank.json,98,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Command of Evidence,textual support,Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,39,85,35,3
kept_reviewed,antigravity-108f5c97,antigravity-bank.json,99,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Command of Evidence,quantitative evidence,Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,58,149,32,3
kept_reviewed,antigravity-3622efe8,antigravity-bank.json,100,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Command of Evidence,quantitative evidence,Medium,multiple_choice,SAT-Core,module1,75,,,,,,Expert review required before approval.,53,79,29,3
kept_reviewed,antigravity-00279036,antigravity-bank.json,101,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Command of Evidence,quantitative evidence,Hard,multiple_choice,SAT-Elite,module2_upper,95,,,,,,Expert review required before approval.,59,113,35,3
kept_reviewed,antigravity-e6a185f5,antigravity-bank.json,102,reviewed,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Command of Evidence,quantitative evidence,Hard,multiple_choice,SAT-Elite,module2_upper,95,,,,,,Expert review required before approval.,57,108,37,3
