"status","sourceFile","extension","questions","displayReady","sourceSolutions","correctAnswers","scoredPracticeReady","blockers","warnings","formulaAssets","rawOleMarkers","formulaRecoveryGap","missingFormulaAssets","needsFormulaReview","needsOriginalImage","needsTextEncodingReview"
"ready","thuvienhoclieu.com-CHUYEN-DE-9-CAN-BAC-BA-VA-CAN-THUC-BAC-BA.docx","docx","31","31","31","31","31","0","0","96","254","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-De-thi-tuyen-sinh-10-Toan-Chuyen-KHTN-Ha-Noi-nam-26-27.docx","docx","4","4","2","2","2","2","0","28","350","0","0","0","0","0"
"ready","thuvienhoclieu.com-De-thi-tuyen-sinh-10-Toan-Chuyen-KHXHNV-Ha-Noi-nam-26-27.docx","docx","35","35","35","35","35","0","0","262","592","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 1. CĂN BẬC HAI, CĂN THỨC BẬC HAI.doc","doc","8","8","8","8","8","0","0","24","284","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 10. PHƯƠNG TRÌNH BẬC NHẤT HAI ẨN. HỆ HAI PHƯƠNG TRÌNH BẬC NHẤT HAI ẨN.doc","doc","7","7","7","7","7","0","0","32","470","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 11. PHƯƠNG PHÁP GIẢI HỆ PHƯƠNG TRÌNH BẬC NHẤT HAI ẨN.doc","doc","4","4","4","4","4","0","0","6","190","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 12. GIẢI TOÁN BẰNG CÁCH LẬP HỆ PHƯƠNG TRÌNH.doc","doc","6","6","6","6","6","0","0","13","284","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 13. HỆ PHƯƠNG TRÌNH BẬC NHẤT NHIỀU ẨN.doc","doc","5","5","5","5","5","0","0","9","127","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 14. HỆ PHƯƠNG TRÌNH QUY VỀ HỆ PHƯƠNG TRÌNH BẬC NHẤT.doc","doc","6","6","6","6","6","0","0","9","229","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 15. HỆ PHƯƠNG TRÌNH CHỨA THAM SỐ.doc","doc","5","5","5","5","5","0","0","11","201","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 16. PHƯƠNG TRÌNH BẬC HAI VÀ CÔNG THỨC NGHIỆM.doc","doc","5","5","5","5","5","0","0","17","231","0","0","0","0","0"
"needs_repair","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 17. HỆ THỨC VI-ÉT.doc","doc","8","7","8","8","7","1","0","44","426","0","0","1","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 18. PHƯƠNG TRÌNH QUY VỀ PHƯƠNG TRÌNH BẬC HAI.doc","doc","7","7","7","7","7","0","0","7","264","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 19. GIẢI TOÁN BẰNG CÁCH LẬP PHƯƠNG TRÌNH.doc","doc","6","6","6","6","6","0","0","23","170","0","0","0","0","0"
"needs_repair","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 2. LIÊN HỆ PHÉP NHÂN, PHÉP CHIA VÀ PHÉP KHAI PHƯƠNG.doc","doc","11","11","10","10","10","1","0","24","327","0","0","0","0","0"
"needs_repair","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 20 . VỊ TRÍ TƯƠNG GIAO GIỮA PARABOL VÀ ĐƯỜNG THẲNG.doc","doc","6","5","6","6","5","1","0","36","360","0","0","1","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 21 . HỆ PHƯƠNG TRÌNH BẬC CAO.doc","doc","8","8","8","8","8","0","0","10","305","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 22. PHƯƠNG TRÌNH VÔ TỈ.doc","doc","6","6","6","6","6","0","0","11","297","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 23. PHƯƠNG TRÌNH, HỆ PHƯƠNG TRÌNH, BẤT PHƯƠNG TRÌNH KHÔNG MẪU MỰC.doc","doc","9","9","9","9","9","0","0","15","283","0","0","0","0","0"
"needs_repair","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 24.THỰC TẾ ĐẠI SỐ.doc","doc","180","180","81","81","81","99","1","2389","3265","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 3. BIẾN ĐỔI ĐƠN GIẢN – BIỂU THỨC CHỨA CĂN THỨC BẬC HAI.doc","doc","9","9","9","9","9","0","0","15","323","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 4. CĂN BẬC BA, CĂN BẬC n.doc","doc","6","6","6","6","6","0","0","8","195","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 5. BẤT ĐẲNG THỨC CÔ-SI.doc","doc","9","9","9","9","9","0","0","15","285","0","0","0","0","0"
"needs_repair","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 6. GIẢI PHƯƠNG TRÌNH CHỨA ẨN TRONG DẤU CĂN.doc","doc","10","10","9","9","9","1","0","18","319","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 7. KHÁI NIỆM HÀM SỐ VÀ ĐỒ THỊ.doc","doc","5","5","5","5","5","0","0","16","85","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 8. HÀM SỐ BẬC NHẤT VÀ ĐỒ THỊ.doc","doc","10","10","10","10","10","0","0","119","369","0","0","0","0","0"
"ready","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 9. ỨNG DỤNG CỦA HÀM BẬC NHẤT ĐỂ CHỨNG MINH BẤT ĐẲNG THỨC.doc","doc","6","6","6","6","6","0","0","27","168","0","0","0","0","0"
"needs_repair","Các bài toán đại số lớp 9 bồi dưỡng hsg.pdf","pdf","1065","1060","1016","1016","1011","54","1","0","0","0","0","5","0","0"
"needs_repair","Các bài toán nâng cao hình học 9 theo chuyên đề.pdf","pdf","569","567","555","555","553","16","1","0","0","0","0","2","0","0"
"needs_repair","Chuyên đề phương trình nghiệm nguyên.pdf","pdf","349","349","334","334","334","15","0","0","0","0","0","0","0","0"
"needs_repair","CHUYÊN ĐỀ. thực tế-logic-dirichle.pdf","pdf","120","115","85","85","81","40","0","0","0","0","0","4","0","1"
"needs_repair","on vao 10/Bất đẳng thức chuyên giai đoạn 2009-2019.pdf","pdf","282","282","281","281","281","1","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/bien-doi-de-tim-cuc-tri-dang-phan-thuc-ap-dung-vao-phuong-trinh-bac-hai-co-tham-so.pdf","pdf","20","20","18","18","18","2","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/cac-bai-toan-thuc-te-ket-hop-bat-dang-thuc-trong-cac-de-thi-mon-toan-thcs.pdf","pdf","213","213","183","183","183","30","0","0","0","0","0","0","0","0"
"ready","on vao 10/CHỦ ĐỀ 7. MỘT SỐ PHƯƠNG PHÁP GIẢI PHƯƠNG TRÌNH NGHIỆM NGUYÊN.pdf","pdf","42","42","42","42","42","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-bat-dang-thuc-on-thi-vao-lop-10.pdf","pdf","183","182","129","129","129","55","0","0","0","0","0","1","0","0"
"needs_repair","on vao 10/chuyen-de-bat-dang-thuc-va-cac-bai-toan-cuc-tri-on-thi-vao-lop-10.pdf","pdf","178","178","175","175","175","3","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-bat-dang-thuc-va-cuc-tri-hinh-hoc-on-thi-vao-lop-10.pdf","pdf","37","37","33","33","33","4","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-cac-bai-toan-thuc-te-co-lien-quan-den-cuc-tri-on-thi-vao-lop-10.pdf","pdf","76","76","75","75","75","1","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/kien-thuc-kinh-nghiem-trai-nghiem-lam-bai-hinh-hoc-toan-chuyen-cho-hoc-sinh-lop-9.pdf","pdf","90","87","51","51","48","42","0","0","0","0","0","3","0","0"
"ready","on vao 10/mot-so-phuong-phap-giai-bai-toan-phuong-trinh-nghiem-nguyen.pdf","pdf","87","87","87","87","87","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/phuong-trinh-nghiem-nguyen-chon-loc.pdf","pdf","319","306","310","310","297","22","0","0","0","0","0","13","0","0"
"needs_repair","Tách đề chuyên 2023-2024.pdf","pdf","302","299","298","298","295","7","0","0","0","0","0","2","0","1"
"needs_repair","tai lieu boi duong hoc sinh gioi may tinh bo tui THCS.pdf","pdf","631","630","371","371","371","261","1","0","0","0","0","1","0","0"
"needs_repair","Tuyển tập các bài toán cực trị - Bồi dưỡng học sinh giỏi THCS.pdf","pdf","531","527","521","521","518","14","0","0","0","0","0","2","0","2"
"needs_repair","on vao 10/_cac-chuyen-de-so-hoc-luyen-thi-vao-lop-10-chuyen-toan.pdf","pdf","785","782","604","604","602","184","0","0","0","0","0","3","0","0"
"ready","on vao 10/_tai-10-chuyen-de-luyen-thi-toan-vao-lop-10.pdf","pdf","2","2","2","2","2","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/13-chuyen-de-on-thi-tuyen-sinh-vao-lop-10-mon-toan.pdf","pdf","1290","1280","1265","1265","1255","35","0","0","0","0","0","4","0","6"
"needs_repair","on vao 10/7-chuyen-de-luyen-thi-vao-lop-10-mon-toan-diep-tuan.pdf","pdf","334","334","333","333","333","1","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/8-chu-de-luyen-thi-tuyen-sinh-vao-lop-10-mon-toan.pdf","pdf","521","518","471","471","468","53","0","0","0","0","0","3","0","0"
"needs_repair","on vao 10/BO CAU HOI VAN DUNG CAO - TOAN THUC TE (75 CAU) (DE).pdf","pdf","75","75","9","9","9","66","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/Cac chuyen de luyen thi vao lop 10.pdf","pdf","473","468","436","436","431","42","0","0","0","0","0","5","0","0"
"needs_repair","on vao 10/cac-bai-toan-xac-suat-lop-9-va-trong-ki-thi-tuyen-sinh-lop-10-nguyen-hong-diep-trang-1.pdf","pdf","510","510","47","47","47","463","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/cac-bai-toan-xac-suat-lop-9-va-trong-ki-thi-tuyen-sinh-lop-10-nguyen-hong-diep.pdf","pdf","510","507","39","39","38","474","0","0","0","0","0","2","0","1"
"ready","on vao 10/CHỦ ĐỀ 8. MỘT SỐ BÀI TOÁN SỐ NGUYÊN TỐ, SỐ CHÍNH PHƯƠNG.pdf","pdf","88","88","88","88","88","0","0","0","0","0","0","0","0","0"
"ready","on vao 10/CHƯƠNG I. HỆ THỨC LƯỢNG TRONG TAM GIÁC VUÔNG.pdf","pdf","22","22","22","22","22","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/CHƯƠNG III. GÓC VỚI ĐƯỜNG TRÒN.pdf","pdf","24","24","23","23","23","1","0","0","0","0","0","0","0","0"
"watch","on vao 10/CHƯƠNG IV. CHÙM BÀI TOÁN LIÊN QUAN ĐIỂM, ĐƯỜNG ĐẶC BIỆT TRONG TAM GIÁC, TIẾP TUYẾN CẮT TUYẾN CỦA ĐƯỜNG TRÒN.pdf","pdf","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"needs_repair","on vao 10/CHƯƠNG V. THẲNG HẰNG, ĐỒNG QUY, ĐIỂM CỐ ĐỊNH, ĐƯỜNG CỐ ĐỊNH.pdf","pdf","59","59","58","58","58","1","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/CHƯƠNG VII. NHỮNG ĐỊNH LÝ HÌNH HỌC NỔI TIẾNG.pdf","pdf","21","21","20","20","20","1","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/Chuyên đề hàm số ôn thi lớp 10.pdf","pdf","364","364","199","199","199","165","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen de on thi vao 10.pdf","pdf","399","399","335","335","335","64","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-cac-mo-hinh-thuong-gap-va-cac-bai-toan-tong-hop-hinh-hoc-on-thi-vao-lop-10.pdf","pdf","130","128","111","111","110","21","0","0","0","0","0","2","0","0"
"needs_repair","on vao 10/chuyen-de-giai-bai-toan-bang-cach-lap-phuong-trinh-on-thi-vao-lop-10.pdf","pdf","212","212","200","200","200","12","0","0","0","0","0","0","0","0"
"ready","on vao 10/chuyen-de-goc-voi-duong-tron-on-thi-vao-lop-10.pdf","pdf","16","16","16","16","16","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-ham-so-bac-hai-va-bai-toan-tuong-giao-on-thi-vao-lop-10.pdf","pdf","145","145","139","139","139","6","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-he-phuong-trinh-bac-nhat-hai-an-va-giai-bai-toan-bang-cach-lap-he-phuong-trinh.pdf","pdf","100","100","98","98","98","2","0","0","0","0","0","0","0","0"
"ready","on vao 10/chuyen-de-he-thuc-luong-trong-tam-giac-vuong-on-thi-vao-lop-10.pdf","pdf","12","12","12","12","12","0","0","0","0","0","0","0","0","0"
"ready","on vao 10/chuyen-de-he-thuc-luong-trong-tam-giac-vuong-va-ung-dung-ti-so-luong-giac.pdf","pdf","92","92","92","92","92","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-mot-so-yeu-to-thong-ke-on-thi-vao-lop-10.pdf","pdf","110","109","110","110","109","1","0","0","0","0","0","1","0","0"
"needs_repair","on vao 10/chuyen-de-mot-so-yeu-to-xac-suat-on-thi-vao-lop-10.pdf","pdf","112","111","112","112","111","1","0","0","0","0","0","1","0","0"
"ready","on vao 10/chuyen-de-nhung-dinh-ly-hinh-hoc-noi-tieng-on-thi-vao-lop-10.pdf","pdf","3","3","3","3","3","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-non-tru-cau-va-hinh-khoi-on-thi-vao-lop-10.pdf","pdf","256","249","242","242","235","21","0","0","0","0","0","2","0","5"
"needs_repair","on vao 10/chuyen-de-phuong-trinh-bac-hai-va-he-thuc-viete-on-thi-vao-lop-10.pdf","pdf","144","144","139","139","139","5","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-rut-gon-bieu-thuc-va-bai-toan-lien-quan-on-thi-vao-lop-10.pdf","pdf","133","133","126","126","126","7","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-tu-giac-noi-tiep-on-thi-vao-lop-10.pdf","pdf","21","21","20","20","20","1","0","0","0","0","0","0","0","0"
"watch","on vao 10/he-thong-cac-khai-niem-co-ban-va-dinh-ly-hinh-hoc-thcs-hinh-hoc-phang.pdf","pdf","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"needs_repair","on vao 10/kien-thuc-kinh-nghiem-trai-nghiem-lam-bai-hinh-hoc-toan-chung-cho-hoc-sinh-lop-9.pdf","pdf","7","6","7","7","6","1","0","0","0","0","0","1","0","0"
"needs_repair","on vao 10/luyen thi vao lop 10 mon toan theo chu de.pdf","pdf","283","283","37","37","37","246","0","0","0","0","0","0","0","0"
"ready","on vao 10/MỘT SỐ PHƯƠNG PHÁP GIẢI PHƯƠNG TRÌNH CÓ CHỨA ẨN Ở MẪU.pdf","pdf","10","10","10","10","10","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/mot-so-bai-tap-chon-loc-hinh-hoc-phang-on-thi-vao-lop-10.pdf","pdf","32","32","31","31","31","1","0","0","0","0","0","0","0","0"
"watch","on vao 10/phuong-phap-dirichle-va-ung-dung-nguyen-huu-dien.pdf","pdf","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ready","on vao 10/QUAN HỆ GIỮA CÁC ĐƯỜNG CAO TRONG TAM GIÁC VÀ ĐƯỜNG TRÒN.pdf","pdf","14","14","14","14","14","0","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/rut gon bieu thuc chua can va bai toan lien quan.pdf","pdf","187","186","25","25","25","163","0","0","0","0","0","1","0","0"
"needs_repair","on vao 10/SU DUNG BDT COSI TRONG HINH HOC 9.pdf","pdf","25","25","19","19","19","6","0","0","0","0","0","0","0","0"
"needs_repair","on vao 10/tai lieu boi duong hoc sinh gioi may tinh bo tui THCS.pdf","pdf","631","630","371","371","371","261","1","0","0","0","0","1","0","0"
"needs_repair","on vao 10/toan thuc te luyen thi vao lop 10.pdf","pdf","237","230","214","214","207","30","0","0","0","0","0","0","0","7"
"watch","on vao 10/Toan thực tế THCS.pdf","pdf","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"needs_repair","on vao 10/Tong on de toan luyen thi vao lop 10.pdf","pdf","74","73","59","59","58","16","0","0","0","0","0","1","0","0"
"needs_repair","on vao 10/tong-hop-cac-bai-toan-phuong-trinh-vo-ti-hay-va-kho-huynh-thanh-phong.pdf","pdf","70","27","66","66","23","47","0","0","0","0","0","0","0","43"
"needs_repair","on vao 10/trong-tam-kien-thuc-va-cac-dang-de-on-thi-vao-lop-10-mon-toan.pdf","pdf","194","189","179","179","177","20","0","0","0","0","0","5","0","0"
"ready","on vao 10/tuyen-tap-300-bai-toan-bat-dang-thuc-chon-loc-co-loi-giai-chi-tiet (1).pdf","pdf","300","300","300","300","300","0","0","0","0","0","0","0","0","0"
